Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
GRANDVIEW HWY S & TEMPLETON DR,Property damage only,VANCOUVER,2017,1,49.25909,-123.060191
BOUNDARY RD & REGENT ST,Property damage only,VANCOUVER,2017,1,49.259109,-123.023633
VINE ST & W 14TH AVE,Property damage only,VANCOUVER,2017,1,49.259265,-123.157816
E 13TH AVE & WATSON ST,Property damage only,VANCOUVER,2017,1,49.259302,-123.100497
ASH ST & W 13TH AVE,Property damage only,VANCOUVER,2017,3,49.259493,-123.117658
MACDONALD ST & W 14TH AVE,Property damage only,VANCOUVER,2017,3,49.259579,-123.168318
BALACLAVA ST & W 14TH AVE,Property damage only,VANCOUVER,2017,1,49.259663,-123.174155
FIR ST & W 13TH AVE,Property damage only,VANCOUVER,2017,1,49.259853,-123.141183
E 12TH AVE & KINGSWAY & MILLTOWN PL,Property damage only,VANCOUVER,2017,44,49.259878,-123.096571
CYPRESS ST & W 13TH AVE,Property damage only,VANCOUVER,2017,1,49.259969,-123.148287
BOUNDARY RD & E 11TH AVE,Property damage only,VANCOUVER,2017,3,49.260096,-123.023778
W 13TH AVE & YEW ST,Property damage only,VANCOUVER,2017,1,49.260099,-123.15547
DISCOVERY ST & W 14TH AVE,Property damage only,VANCOUVER,2017,1,49.26011,-123.203148
E 12TH AVE & SOPHIA ST,Property damage only,VANCOUVER,2017,14,49.260188,-123.098306
E 12TH AVE & WATSON ST,Property damage only,VANCOUVER,2017,3,49.260192,-123.100446
SASAMAT ST & W 14TH AVE,Property damage only,VANCOUVER,2017,2,49.260203,-123.209245
E 12TH AVE & QUEBEC ST,Property damage only,VANCOUVER,2017,15,49.260231,-123.103085
ALBERTA ST & W 12TH AVE,Property damage only,VANCOUVER,2017,7,49.260362,-123.111036
CAMBIE ST & W 12TH AVE,Property damage only,VANCOUVER,2017,69,49.260396,-123.114989
E 11TH AVE & VICTORIA DR,Property damage only,VANCOUVER,2017,1,49.26044,-123.065934
ASH ST & W 12TH AVE,Property damage only,VANCOUVER,2017,15,49.260441,-123.117629
COMMERCIAL DR & E 11TH AVE,Property damage only,VANCOUVER,2017,6,49.260447,-123.069828
HEATHER ST & W 12TH AVE,Property damage only,VANCOUVER,2017,11,49.260498,-123.119936
E 11TH AVE & PRINCE ALBERT ST,Property damage only,VANCOUVER,2017,4,49.260602,-123.087194
E 11TH AVE & FRASER ST,Property damage only,VANCOUVER,2017,2,49.26062,-123.089171
GRANDVIEW HWY N & LAKEWOOD DR,Property damage only,VANCOUVER,2017,1,49.260645,-123.062059
BURRARD ST & W 12TH AVE,Property damage only,VANCOUVER,2017,11,49.260941,-123.145866
CYPRESS ST & W 12TH AVE,Property damage only,VANCOUVER,2017,5,49.260976,-123.14825
ARBUTUS ST & W 12TH AVE,Property damage only,VANCOUVER,2017,21,49.261003,-123.15306
DISCOVERY ST & W 13TH AVE,Property damage only,VANCOUVER,2017,1,49.261014,-123.203114
E 10TH AVE & PENTICTON ST,Property damage only,VANCOUVER,2017,1,49.261029,-123.053
W 12TH AVE & YEW ST,Property damage only,VANCOUVER,2017,2,49.261035,-123.155419
VINE ST & W 12TH AVE,Property damage only,VANCOUVER,2017,6,49.261114,-123.157729
TRAFALGAR ST & W 12TH AVE,Property damage only,VANCOUVER,2017,2,49.261187,-123.164778
W 12TH AVE & TURNING LANE,Property damage only,VANCOUVER,2017,1,49.261383,-123.167176
MACKENZIE ST & W 12TH AVE,Property damage only,VANCOUVER,2017,1,49.261396,-123.170251
COMMERCIAL DR & E 10TH AVE,Property damage only,VANCOUVER,2017,8,49.261397,-123.069814
CLARK DR & E 10TH AVE,Property damage only,VANCOUVER,2017,2,49.261417,-123.077602
BALACLAVA ST & W 12TH AVE,Property damage only,VANCOUVER,2017,1,49.261475,-123.174055
REDBUD LANE & SALAL DR & YEW ST,Property damage only,VANCOUVER,2017,1,49.261508,-123.155394
BLENHEIM ST & W 12TH AVE,Property damage only,VANCOUVER,2017,3,49.261529,-123.177919
BOUNDARY RD & MYRTLE ST,Property damage only,VANCOUVER,2017,5,49.261543,-123.023613
KINGSWAY & SOPHIA ST,Property damage only,VANCOUVER,2017,2,49.261562,-123.098258
BIRCH ST & W 11TH AVE,Property damage only,VANCOUVER,2017,1,49.261623,-123.133793
GRANVILLE ST & W 11TH AVE,Property damage only,VANCOUVER,2017,18,49.26171,-123.138572
FIR ST & W 11TH AVE,Property damage only,VANCOUVER,2017,4,49.261738,-123.141104
CYPRESS ST & W 11TH AVE,Property damage only,VANCOUVER,2017,1,49.261866,-123.148213
E BROADWAY & NOOTKA ST,Property damage only,VANCOUVER,2017,5,49.261924,-123.041577
DISCOVERY ST & W 12TH AVE,Property damage only,VANCOUVER,2017,3,49.261925,-123.20308
ARBUTUS ST & W 11TH AVE,Property damage only,VANCOUVER,2017,6,49.261943,-123.153001
E BROADWAY & KASLO ST,Property damage only,VANCOUVER,2017,9,49.262002,-123.04704
E BROADWAY & SLOCAN ST,Property damage only,VANCOUVER,2017,4,49.262006,-123.049586
E 10TH AVE & ONTARIO ST & W 10TH AVE,Property damage only,VANCOUVER,2017,3,49.262072,-123.104917
CASSIAR ST & E BROADWAY & LOUGHEED HWY,Property damage only,VANCOUVER,2017,1,49.262113,-123.031026
E BROADWAY & NANAIMO ST,Property damage only,VANCOUVER,2017,40,49.262131,-123.056591
TRAFALGAR ST & W 11TH AVE,Property damage only,VANCOUVER,2017,1,49.262253,-123.164706
ASH ST & W 10TH AVE,Property damage only,VANCOUVER,2017,2,49.26228,-123.11757
E BROADWAY & WOODLAND DR,Property damage only,VANCOUVER,2017,11,49.262359,-123.073646
E BROADWAY & MCLEAN DR,Property damage only,VANCOUVER,2017,1,49.262376,-123.075584
E BROADWAY & GLEN DR,Property damage only,VANCOUVER,2017,9,49.262424,-123.08139
OAK ST & W 10TH AVE,Property damage only,VANCOUVER,2017,20,49.262439,-123.12665
W 11TH AVE & WATERLOO ST,Property damage only,VANCOUVER,2017,1,49.262456,-123.17986
E BROADWAY & PRINCE ALBERT ST,Property damage only,VANCOUVER,2017,4,49.262469,-123.087187
CAROLINA ST & E BROADWAY,Property damage only,VANCOUVER,2017,2,49.26249,-123.091043
E BROADWAY & ST GEORGE ST,Property damage only,VANCOUVER,2017,6,49.262505,-123.093
E BROADWAY & GUELPH ST,Property damage only,VANCOUVER,2017,2,49.262518,-123.094952
